,id,v,baidu1,baidu2,baidu3,baidu4,xunfei1,xunfei2,xunfei3,xunfei4
143,772,3,1,1,1,1,0,0,0,0
144,773,1,1,1,1,1,0,0,0,0
145,773,2,1,1,1,1,0,0,0,0
146,773,3,1,1,1,1,0,0,0,0
147,781,1,1,1,1,1,1,1,0,0
148,781,2,1,1,1,1,1,1,1,1
149,781,3,1,1,1,1,1,1,1,1
150,782,1,1,1,1,1,1,1,1,1
151,782,2,1,1,1,1,0,0,0,0
152,782,3,1,1,1,1,0,0,0,0
153,701,1,1,1,1,1,1,1,1,1
154,701,2,1,1,1,1,1,1,1,1
155,701,3,1,1,1,1,1,1,1,1
156,702,1,1,1,1,1,0,0,0,0
157,702,2,1,1,1,1,0,0,0,0
158,702,3,1,1,1,1,1,1,1,1
