v,Unnamed: 0,id,baidu1,baidu2,baidu3,baidu4,xunfei1,xunfei2,xunfei3,xunfei4
1,78,203.245283,0.981132075,0.981132075,0.981132075,0.981132075,0.528301887,0.528301887,0.509433962,0.490566038
2,79,203.245283,0.924528302,0.924528302,0.924528302,0.924528302,0.433962264,0.433962264,0.433962264,0.41509434
3,80,203.245283,0.924528302,0.924528302,0.924528302,0.924528302,0.320754717,0.320754717,0.301886792,0.301886792
